Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
58	The Discreet Charm of the B…	2000-05-12		PG	$198,809	36,884	Comedy
59	The Big Tease	2000-01-28	Warner Bros.	R	$185,577	34,429	Comedy
60	La Bûche	2000-11-17	Empire Pictures	Not Rated	$172,205	31,948	Comedy
61	Laura Cadieux .. La Suite	1999-12-03	Alliance Atlantis	Not Rated	$135,853	25,204	Comedy
62	Agnes Browne	1999-12-03	USA Films	R	$134,104	24,880	Comedy
63	Bedrooms and Hallways	1999-09-03	First Run Features	Not Rated	$119,590	22,187	Comedy
64	Adorenarin doraibu	2000-05-05	Shooting Gallery	Not Rated	$77,313	14,343	Comedy
65	Blue Moon	2000-11-03	Castle Hill Produ…	PG-13	$71,548	13,274	Comedy
66	Diamonds	1999-12-10	Miramax	PG-13	$69,002	12,801	Comedy
67	An Everlasting Piece	2000-12-22	Dreamworks SKG	R	$52,773	9,790	Comedy
68	La Bouteille	2000-10-20	Lionsgate	Not Rated	$43,993	8,161	Comedy
69	Billy Liar	1963-12-16	Rialto Pictures	Not Rated	$35,609	6,606	Comedy
70	The Saragossa Manuscript	1999-05-21	Cowboy Pictures	Not Rated	$32,563	6,041	Comedy
71	Bootmen	2000-10-06	Fox Searchlight	R	$21,172	3,928	Comedy
72	2 Männer, 2 Frauen - 4 Prob…	2000-11-03		Not Rated	$14,940	2,771	Comedy
73	30 Days	2000-09-15	Arrow Releasing	Not Rated	$13,753	2,551	Comedy
74	Aïe	2000-12-01		Not Rated	$8,289	1,537	Comedy
75	Mookie	2000-07-14		Not Rated	$7,284	1,351	Comedy
76	Les convoyeurs attendent	2000-03-15	Samuel Goldwyn Films	Not Rated	$5,518	1,023	Comedy
77	Edge of Seventeen	1999-04-30	Strand	Not Rated	$2,403	445	Comedy
78	Chutney Popcorn	2000-11-17	First Look	Not Rated	$2,274	421	Comedy
79	L'Homme Nu	2000-12-01		Not Rated	$2,126	394	Comedy
80	Better Living	2000-08-04		Not Rated	$1,432	265	Comedy
1	American Pie 2	2001-08-10	Universal	R	$145,096,820	25,635,480	Comedy
2	The Princess Diaries	2001-08-03	Walt Disney	G	$108,225,136	19,121,048	Comedy
3	Legally Blonde	2001-07-13	MGM	PG-13	$96,493,426	17,048,308	Comedy
4	Cats & Dogs	2001-07-04	Warner Bros.	PG	$93,375,151	16,497,376	Comedy
5	Scary Movie 2	2001-07-04	Miramax/Dimension	R	$71,277,420	12,593,183	Comedy
6	Down to Earth	2001-02-16	Paramount Pictures	PG-13	$64,172,251	11,337,853	Comedy
7	Miss Congeniality	2000-12-22	Warner Bros.	PG-13	$60,424,996	10,675,794	Comedy
8	Rat Race	2001-08-17	Paramount Pictures	PG-13	$56,607,223	10,001,276	Comedy
9	The Animal	2001-06-01	Sony Pictures	PG-13	$55,762,229	9,851,983	Comedy
10	Zoolander	2001-09-28	Paramount Pictures	PG-13	$45,162,741	7,979,282	Comedy
11	O Brother, Where Art Thou?	2000-12-22	Walt Disney	PG-13	$43,569,988	7,697,877	Comedy
12	Bandits	2001-10-12	MGM	PG-13	$41,434,602	7,320,601	Comedy
13	Heartbreakers	2001-03-23	MGM	PG-13	$40,334,024	7,126,152	Comedy
14	Evolution	2001-06-08	Dreamworks SKG	PG-13	$38,311,134	6,768,751	Comedy
15	Not Another Teen Movie	2001-12-14	Sony Pictures	R	$35,248,962	6,227,731	Comedy
16	The Family Man	2000-12-22	Universal	PG-13	$32,619,705	5,763,198	Comedy
17	What's the Worst That Could…	2001-06-01	MGM	PG-13	$32,267,774	5,701,020	Comedy
18	Jay and Silent Bob Strike Back	2001-08-24	Miramax/Dimension	R	$30,059,386	5,310,845	Comedy
19	The Brothers	2001-03-23	Sony Pictures	R	$27,457,409	4,851,132	Comedy
20	Joe Dirt	2001-04-11	Sony Pictures	PG-13	$27,087,695	4,785,811	Comedy
21	How High	2001-12-21	Universal	R	$24,098,250	4,257,641	Comedy
22	Corky Romano	2001-10-12	Walt Disney	PG-13	$23,780,766	4,201,548	Comedy
23	Kingdom Come	2001-04-11	Fox Searchlight	PG	$23,247,539	4,107,339	Comedy
24	Joe Somebody	2001-12-21	20th Century Fox	PG	$19,761,472	3,491,426	Comedy
25	Saving Silverman	2001-02-09	Sony Pictures	R	$19,351,569	3,419,005	Comedy
26	Josie and the Pussycats	2001-04-11	Universal	PG-13	$14,252,830	2,518,167	Comedy
27	Freddy Got Fingered	2001-04-20	20th Century Fox	R	$14,249,005	2,517,492	Comedy
28	Out Cold	2001-11-21	Walt Disney	PG-13	$13,607,891	2,404,221	Comedy
29	Tomcats	2001-03-30	Sony Pictures	R	$13,558,739	2,395,536	Comedy
30	Sugar and Spice	2001-01-26	New Line	PG-13	$13,276,953	2,345,751	Comedy
31	Dude, Where's My Car?	2000-12-15	20th Century Fox	PG-13	$11,097,464	1,960,682	Comedy
32	The Wash	2001-11-14	Lionsgate	R	$10,036,340	1,773,204	Comedy
33	The Curse of the Jade Scorpion	2001-08-24	Dreamworks SKG	PG-13	$7,496,522	1,324,473	Comedy
34	Le Placard	2001-04-06	Miramax	R	$6,671,454	1,178,702	Comedy
35	Ghost World	2001-07-20	MGM	R	$6,139,840	1,084,777	Comedy
36	Say It Isn't So	2001-03-23	20th Century Fox	R	$5,516,708	974,683	Comedy
37	Monkeybone	2001-02-23	20th Century Fox	PG-13	$5,409,517	955,745	Comedy
38	State and Main	2000-12-22	Fine Line	R	$5,378,327	950,234	Comedy
39	Made	2001-07-13	Artisan	R	$5,308,707	937,934	Comedy
40	Pane e tulipani	2001-07-27	First Look	PG-13	$5,229,957	924,020	Comedy
41	Bubble Boy	2001-08-24	Walt Disney	PG-13	$5,002,310	883,800	Comedy
42	Meet the Parents	2000-10-06	Universal	PG-13	$4,899,550	865,644	Comedy
43	Just Visiting	2001-04-06	Walt Disney	PG-13	$4,777,007	843,994	Comedy
44	Tortilla Soup	2001-08-24	IDP Distribution	PG-13	$4,447,014	785,691	Comedy
45	Pootie Tang	2001-06-29	Paramount Pictures	PG-13	$3,293,258	581,847	Comedy
46	Monty Python and the Holy G…	1975-05-10		PG	$3,194,949	564,478	Comedy
47	Sidewalks of New York	2001-11-21	Paramount Vantage	R	$2,343,532	414,051	Comedy
48	Escanaba in Da Moonlight	2001-01-26	Purple Rose Films	PG-13	$2,276,406	402,191	Comedy
49	The Dish	2001-03-14	Warner Bros.	PG-13	$2,252,970	398,051	Comedy
50	Gosford Park	2001-12-26	USA Films	R	$2,193,544	387,551	Comedy
51	Novocaine	2001-11-16	Artisan	R	$2,025,238	357,815	Comedy
52	Best in Show	2000-09-27	Warner Bros.	PG-13	$1,441,606	254,700	Comedy
53	Greenfingers	2001-07-27	IDP Distribution	R	$1,439,287	254,290	Comedy
54	Nuit de Noces	2001-06-01	Seville	Not Rated	$1,238,180	218,759	Comedy
55	The Debut	2001-03-16	Menemsha Entertai…	R	$1,079,006	190,637	Comedy
56	Together	2001-05-10	IFC Films	R	$1,010,208	178,481	Comedy
57	Les Boys III	2001-11-30	Lionsgate	Not Rated	$995,000	175,795	Comedy
58	Blow Dry	2001-03-07	Miramax	R	$637,769	112,680	Comedy
59	Little Nicky	2000-11-10	New Line	PG-13	$594,247	104,990	Comedy
60	Almost Famous	2000-09-15	Dreamworks SKG	R	$583,343	103,064	Comedy
61	A Hard Day's Night	1964-08-11	Universal	G	$383,853	67,818	Comedy
62	Bedazzled	2000-10-20	20th Century Fox	PG-13	$360,705	63,728	Comedy
63	Drôle de Félix	2001-06-15	WinStar Cinema	Not Rated	$358,287	63,301	Comedy
64	Me You Them	2001-03-02		PG-13	$323,403	57,138	Comedy
65	Wet Hot American Summer	2001-07-27		R	$292,102	51,608	Comedy
66	High Heels and Low Lifes	2001-10-26	Walt Disney	R	$226,792	40,069	Comedy
67	Catfish in Black Bean Sauce	2000-06-09	Phaedra Cinema	PG-13	$207,990	36,747	Comedy
68	Funny Girl	1968-09-19	Columbia	G	$207,416	36,645	Comedy
69	Fast Food, Fast Women	2001-05-18		Not Rated	$188,686	33,336	Comedy
70	About Adam	2001-05-11	Miramax	R	$151,559	26,777	Comedy
71	La Bûche	2000-11-17	Empire Pictures	Not Rated	$150,977	26,674	Comedy
72	Company Man	2001-03-09		PG-13	$146,028	25,800	Comedy
73	Sordid Lives	2001-05-11	Regent Releasing	R	$131,833	23,292	Comedy
74	Lisa Picard is Famous	2001-08-22		PG-13	$113,433	20,041	Comedy
75	101 Reykjavík	2001-07-25		Not Rated	$109,277	19,306	Comedy
76	Wonder Boys	2000-02-23	Paramount Pictures	R	$104,502	18,463	Comedy
77	Hit & Runway	2001-03-02		Not Rated	$81,097	14,328	Comedy
78	La Ciénaga	2001-10-05		Not Rated	$68,297	12,066	Comedy
79	Beautiful Creatures	2001-04-06	Focus Features	R	$55,381	9,784	Comedy
80	The Broken Hearts Club: A R…	2000-09-29	Sony Pictures Cla…	R	$25,400	4,487	Comedy
81	Nationale 7	2001-01-19		Not Rated	$25,076	4,430	Comedy
82	An Everlasting Piece	2000-12-22	Dreamworks SKG	R	$22,305	3,940	Comedy
83	Born Romantic	2001-09-28	MGM	R	$14,597	2,578	Comedy
84	Amy	2001-02-02		PG-13	$7,880	1,392	Comedy
85	Blue Moon	2000-11-03	Castle Hill Produ…	PG-13	$4,548	803	Comedy
86	Psycho Beach Party	2000-08-04		Not Rated	$2,865	506	Comedy
87	Rat	2001-04-20		Not Rated	$2,501	441	Comedy
88	R2PC: Road to Park City	2001-01-26		Not Rated	$1,216	214	Comedy
89	Geboren in Absurdistan	2001-01-26		Not Rated	$976	172	Comedy
90	Luminarias	2000-05-05		R	$288	50	Comedy
91	Aïe	2000-12-01		Not Rated	$228	40	Comedy
1	Austin Powers in Goldmember	2002-07-25	New Line	PG-13	$213,117,789	36,681,202	Comedy
2	Mr. Deeds	2002-06-28	Sony Pictures	PG-13	$126,293,452	21,737,255	Comedy
3	Sweet Home Alabama	2002-09-27	Walt Disney	PG-13	$126,086,880	21,701,700	Comedy
4	Barbershop	2002-09-13	MGM	PG-13	$75,228,991	12,948,191	Comedy
5	The Divine Secrets of the Y…	2002-06-07	Warner Bros.	PG-13	$69,586,544	11,977,029	Comedy
6	Drumline	2002-12-13	20th Century Fox	PG-13	$47,539,218	8,182,309	Comedy
7	Orange County	2002-01-11	Paramount Pictures	PG-13	$41,059,716	7,067,076	Comedy
8	Gosford Park	2001-12-26	USA Films	R	$39,106,561	6,730,905	Comedy
9	Undercover Brother	2002-05-31	Universal	PG-13	$38,230,435	6,580,109	Comedy
10	Showtime	2002-03-15	Warner Bros.	PG-13	$37,948,765	6,531,629	Comedy
11	Friday After Next	2002-11-22	New Line	R	$32,588,293	5,609,000	Comedy
12	Analyze That	2002-12-06	Warner Bros.	R	$30,777,692	5,297,365	Comedy
13	The Banger Sisters	2002-09-20	20th Century Fox	R	$30,306,281	5,216,227	Comedy
14	The Hot Chick	2002-12-13	Walt Disney	PG-13	$29,852,872	5,138,187	Comedy
15	The New Guy	2002-05-10	Sony Pictures	PG-13	$28,972,187	4,986,607	Comedy
16	All About the Benjamins	2002-03-08	New Line	R	$25,482,931	4,386,046	Comedy
17	National Lampoon’s Van Wild…	2002-04-05	Artisan	R	$21,305,259	3,666,998	Comedy
18	Super Troopers	2002-02-15	Fox Searchlight	R	$18,492,362	3,182,850	Comedy
19	Punch-Drunk Love	2002-10-11	Sony Pictures	R	$17,791,031	3,062,139	Comedy
20	Eight Legged Freaks	2002-07-17	Warner Bros.	PG-13	$17,266,505	2,971,859	Comedy
21	Kung Pow: Enter the Fist	2002-01-25	20th Century Fox	PG-13	$16,033,556	2,759,648	Comedy
22	Stealing Harvard	2002-09-13	Sony Pictures	PG-13	$13,973,532	2,405,082	Comedy
23	Monsoon Wedding	2002-02-22	USA Films	R	$13,876,974	2,388,463	Comedy
24	Juwanna Mann	2002-06-21	Warner Bros.	PG-13	$13,571,817	2,335,940	Comedy
25	Sorority Boys	2002-03-22	Walt Disney	R	$10,198,766	1,755,381	Comedy
26	S1m0ne	2002-08-23	New Line	PG-13	$9,680,913	1,666,250	Comedy
27	The Importance of Being Ear…	2002-05-22	Miramax	PG	$8,378,141	1,442,020	Comedy
28	Big Trouble	2002-04-05	Walt Disney	PG-13	$7,262,288	1,249,963	Comedy
29	How High	2001-12-21	Universal	R	$7,057,185	1,214,661	Comedy
30	Adaptation	2002-12-06	Sony Pictures	R	$6,100,371	1,049,977	Comedy
31	Real Women Have Curves	2002-10-18	Newmarket Films	PG-13	$5,361,548	922,813	Comedy
32	Slackers	2002-02-01	Sony Pictures	R	$4,814,244	828,613	Comedy
33	Igby Goes Down	2002-09-13	MGM	R	$4,681,503	805,766	Comedy
34	Italian for Beginners	2002-01-18	Miramax	R	$4,447,186	765,436	Comedy
35	The Adventures of Pluto Nash	2002-08-16	Warner Bros.	PG-13	$4,411,102	759,225	Comedy
36	Men with Brooms	2002-03-08	Artisan	R	$4,239,767	729,736	Comedy
37	Mostly Martha (Drei Sterne)	2002-08-16	Paramount Vantage	PG	$4,139,417	712,464	Comedy
38	Joe Somebody	2001-12-21	20th Century Fox	PG	$3,009,392	517,967	Comedy
39	Tadpole	2002-07-19	Miramax	PG-13	$2,810,893	483,802	Comedy
40	Not Another Teen Movie	2001-12-14	Sony Pictures	R	$2,633,589	453,285	Comedy
41	Full Frontal	2002-08-02	Miramax	R	$2,512,846	432,503	Comedy
42	The Man from Elysian Fields	2002-09-27	Samuel Goldwyn Films	R	$1,397,734	240,573	Comedy
43	The Singles Ward	2002-02-01	Halestorm Enterta…	PG	$1,250,798	215,283	Comedy
44	My Wife is an Actress (Ma F…	2002-07-12	Sony Pictures Cla…	R	$1,056,063	181,766	Comedy
45	Sordid Lives	2001-05-11	Regent Releasing	R	$815,887	140,428	Comedy
46	Human Nature	2002-04-12	Fine Line	R	$705,308	121,395	Comedy
47	The Debut	2001-03-16	Menemsha Entertai…	R	$664,564	114,382	Comedy
48	Son of the Bride	2002-03-22	Sony Pictures Cla…	R	$624,153	107,427	Comedy
49	Charly	2002-09-27	Excel Entertainment	PG	$594,806	102,376	Comedy
50	Welcome to Collinwood	2002-10-04	Warner Bros.	R	$378,650	65,172	Comedy
51	Elling	2002-05-29		R	$313,436	53,947	Comedy
52	Pumpkin	2002-06-28	MGM	R	$305,690	52,614	Comedy
53	The Château	2002-08-09	IFC Films	R	$301,175	51,837	Comedy
54	Out Cold	2001-11-21	Walt Disney	PG-13	$298,503	51,377	Comedy
55	Corky Romano	2001-10-12	Walt Disney	PG-13	$197,636	34,016	Comedy
56	Monty Python and the Holy G…	1975-05-10		PG	$169,974	29,255	Comedy
57	Cherish	2002-06-07	Fine Line	R	$160,268	27,584	Comedy
58	Bartleby	2002-05-24	Outrider Pictures	PG-13	$141,367	24,331	Comedy
59	American Chai	2002-04-05	Magic Lamp	R	$125,996	21,686	Comedy
60	The Producers	1968-03-18		Not Rated	$111,301	19,156	Comedy
61	Bandits	2001-10-12	MGM	PG-13	$88,669	15,261	Comedy
62	Pane e tulipani	2001-07-27	First Look	PG-13	$81,220	13,979	Comedy
63	Ghost World	2001-07-20	MGM	R	$78,009	13,426	Comedy
64	Spooky House	2002-04-19		PG	$65,575	11,286	Comedy
65	God is Great, I'm Not	2002-11-08		Not Rated	$65,464	11,267	Comedy
66	Manna From Heaven	2002-08-02	Five Sisters Prod…	PG	$64,406	11,085	Comedy
67	The Wash	2001-11-14	Lionsgate	R	$60,756	10,457	Comedy
68	Sidewalks of New York	2001-11-21	Paramount Vantage	R	$58,927	10,142	Comedy
69	Lucky Break	2002-04-05	Paramount Pictures	PG-13	$54,606	9,398	Comedy
70	La Ciénaga	2001-10-05		Not Rated	$34,918	6,009	Comedy
71	Together	2001-05-10	IFC Films	R	$24,621	4,237	Comedy
72	All the Queen's Men	2002-10-25	Strand	PG-13	$22,723	3,911	Comedy
73	The Princess Diaries	2001-08-03	Walt Disney	G	$19,638	3,380	Comedy
74	30 Years to Life	2002-06-07		R	$12,732	2,191	Comedy
75	The Mesmerist	2002-09-20		Not Rated	$11,422	1,965	Comedy
76	The Next Big Thing	2002-05-29		R	$9,763	1,680	Comedy
77	Zoolander	2001-09-28	Paramount Pictures	PG-13	$9,509	1,636	Comedy
78	La Bûche	2000-11-17	Empire Pictures	Not Rated	$7,236	1,245	Comedy
79	The Phantom of Liberty	2002-11-08		R	$6,172	1,062	Comedy
80	The Wetonkawa Flash	2002-03-08	Indican Pictures	Not Rated	$5,030	865	Comedy
81	Drôle de Félix	2001-06-15	WinStar Cinema	Not Rated	$4,285	737	Comedy
82	Secret Society	2002-06-07		Not Rated	$2,838	488	Comedy
83	The 4th Tenor	2002-11-22		PG-13	$2,152	370	Comedy
84	Dead or Alive	2002-11-29		Not Rated	$1,841	316	Comedy
85	Besotted	2002-11-01	Artistic License	Not Rated	$656	112	Comedy
86	Hit & Runway	2001-03-02		Not Rated	$473	81	Comedy
1	Bruce Almighty	2003-05-23	Universal	PG-13	$242,704,995	40,249,584	Comedy
2	Elf	2003-11-07	New Line	PG	$170,837,644	28,331,284	Comedy
3	Anger Management	2003-04-11	Sony Pictures	PG-13	$135,560,942	22,481,084	Comedy
4	Bringing Down the House	2003-03-07	Walt Disney	PG-13	$132,675,402	22,002,554	Comedy
5	Freaky Friday	2003-08-06	Walt Disney	PG	$110,180,505	18,272,057	Comedy
6	Scary Movie 3	2003-10-24	Miramax/Dimension	PG-13	$109,563,395	18,169,717	Comedy
7	American Wedding	2003-08-01	Universal	R	$104,354,205	17,305,838	Comedy
8	Daddy Day Care	2003-05-09	Sony Pictures	PG	$104,148,781	17,271,771	Comedy
9	Legally Blonde 2: Red, Whit…	2003-07-02	MGM	PG-13	$90,639,088	15,031,357	Comedy
10	Cheaper by the Dozen	2003-12-25	20th Century Fox	PG	$85,620,095	14,199,020	Comedy
11	School of Rock	2003-10-03	Paramount Pictures	PG-13	$80,232,030	13,305,477	Comedy
12	Old School	2003-02-21	Dreamworks SKG	R	$75,155,000	12,463,515	Comedy
13	Under the Tuscan Sun	2003-09-26	Walt Disney	PG-13	$43,323,006	7,184,578	Comedy
14	Head of State	2003-03-28	Dreamworks SKG	PG-13	$37,788,228	6,266,704	Comedy
15	Uptown Girls	2003-08-15	MGM	PG-13	$37,095,657	6,151,850	Comedy
16	Matchstick Men	2003-09-12	Warner Bros.	PG-13	$36,873,198	6,114,958	Comedy
17	What a Girl Wants	2003-04-04	Warner Bros.	PG	$35,990,505	5,968,574	Comedy
18	Malibu’s Most Wanted	2003-04-18	Warner Bros.	PG-13	$34,308,901	5,689,701	Comedy
19	Bend it Like Beckham	2003-03-12	Fox Searchlight	PG-13	$32,543,449	5,396,923	Comedy
20	Stuck On You	2003-12-12	20th Century Fox	PG-13	$30,721,406	5,094,760	Comedy
21	The Fighting Temptations	2003-09-19	Paramount Pictures	PG-13	$30,238,577	5,014,689	Comedy
22	Dumb and Dumberer: When Har…	2003-06-13	New Line	PG-13	$26,214,846	4,347,403	Comedy
23	Dickie Roberts: Former Chil…	2003-09-05	Paramount Pictures	PG-13	$22,734,486	3,770,229	Comedy
24	The In-Laws	2003-05-23	Warner Bros.	PG-13	$20,440,627	3,389,822	Comedy
25	A Mighty Wind	2003-04-16	Warner Bros.	PG-13	$17,583,468	2,915,998	Comedy
26	Adaptation	2002-12-06	Sony Pictures	R	$16,398,149	2,719,427	Comedy
27	View from the Top	2003-03-21	Miramax	PG-13	$15,614,000	2,589,386	Comedy
28	Duplex	2003-09-26	Miramax	PG-13	$9,652,000	1,600,663	Comedy
29	Mambo Italiano	2003-06-06	Goldwyn Entertain…	R	$9,282,750	1,539,427	Comedy
30	Le Divorce	2003-08-08	Fox Searchlight	PG-13	$9,074,550	1,504,900	Comedy
31	Drumline	2002-12-13	20th Century Fox	PG-13	$8,858,944	1,469,144	Comedy
32	Boat Trip	2003-03-21	Artisan	R	$8,586,376	1,423,942	Comedy
33	La Grande Seduction	2003-07-11	Odeon Films	Not Rated	$8,009,736	1,328,314	Comedy
34	It Runs in the Family	2003-04-25	MGM	PG-13	$7,375,836	1,223,190	Comedy
35	Calendar Girls	2003-12-19	Walt Disney	PG-13	$6,953,194	1,153,100	Comedy
36	Chasing Papi	2003-04-16	20th Century Fox	PG	$6,126,237	1,015,959	Comedy
37	The Hot Chick	2002-12-13	Walt Disney	PG-13	$5,228,678	867,110	Comedy
38	The Guru	2003-01-31	Universal	R	$3,051,221	506,006	Comedy
39	Pieces of April	2003-10-17	MGM	PG-13	$2,406,672	399,116	Comedy
40	Marci X	2003-08-22	Paramount Pictures	R	$1,646,664	273,078	Comedy
41	Camp	2003-07-25	IFC Films	PG-13	$1,629,862	270,292	Comedy
42	Analyze That	2002-12-06	Warner Bros.	R	$1,344,557	222,977	Comedy
43	Bubba Ho-Tep	2003-09-19	Vitagraph Films	R	$1,209,318	200,550	Comedy
44	Sweet Home Alabama	2002-09-27	Walt Disney	PG-13	$1,127,192	186,930	Comedy
45	The R.M.	2003-01-31	Halestone	PG	$1,111,615	184,347	Comedy
46	The Man Without a Past	2003-04-04	Sony Pictures Cla…	PG-13	$921,547	152,827	Comedy
47	Party Monster	2003-08-29	ContentFilm	R	$731,387	121,291	Comedy
48	Friday After Next	2002-11-22	New Line	R	$665,316	110,334	Comedy
49	Pere et Fils	2003-09-19	Odeon Films	Not Rated	$634,968	105,301	Comedy
50	Barbershop	2002-09-13	MGM	PG-13	$552,651	91,650	Comedy
51	Real Women Have Curves	2002-10-18	Newmarket Films	PG-13	$491,646	81,533	Comedy
52	Manna From Heaven	2002-08-02	Five Sisters Prod…	PG	$392,097	65,024	Comedy
53	Buffalo Soldiers	2003-07-25	Miramax	R	$353,743	58,663	Comedy
54	The Lawless Heart	2003-02-21		R	$330,067	54,737	Comedy
55	The Singing Detective	2003-10-24	Paramount Pictures	R	$327,314	54,280	Comedy
56	The Trip	2003-05-09		R	$305,403	50,647	Comedy
57	Annie Brocoli dans les fond…	2003-12-19		Not Rated	$291,844	48,398	Comedy
58	The Battle of Shaker Heights	2003-08-22	Miramax	PG-13	$280,351	46,492	Comedy
59	Foolproof	2003-10-03		R	$230,312	38,194	Comedy
60	Charly	2002-09-27	Excel Entertainment	PG	$219,860	36,461	Comedy
61	Chaos	2003-01-31	New Yorker	Not Rated	$204,274	33,876	Comedy
62	Sordid Lives	2001-05-11	Regent Releasing	R	$163,553	27,123	Comedy
63	Pride and Prejudice	2003-12-05	Excel Entertainment	PG	$160,945	26,690	Comedy
64	Bon Voyage!	1962-05-17	Walt Disney	Not Rated	$148,727	24,664	Comedy
65	Super Sucker	2003-01-24		R	$137,650	22,827	Comedy
